time,close,open,high,low
2021-05-13,1261.99,1262.98,1273.49,1261.99
2021-05-14,1266.36,1266.43,1271.45,1259.97
2021-05-17,1258.70,1272.55,1277.83,1258.50
2021-05-18,1252.68,1259.57,1262.22,1249.02
2021-05-19,1262.49,1254.78,1262.71,1250.58
2021-05-20,1278.22,1264.62,1278.22,1255.78
2021-05-21,1283.93,1272.84,1289.03,1268.46
2021-05-24,1297.98,1287.50,1299.83,1287.36
2021-05-25,1308.58,1299.19,1308.58,1297.23
2021-05-26,1316.70,1308.04,1317.30,1304.68
2021-05-27,1303.57,1318.42,1319.67,1299.99
2021-05-28,1320.46,1307.79,1323.09,1300.06
2021-05-31,1328.05,1326.65,1328.05,1307.56
2021-06-01,1337.78,1329.47,1346.34,1328.84
2021-06-02,1340.78,1337.78,1344.98,1330.82
2021-06-03,1364.28,1345.21,1366.00,1345.21
2021-06-04,1374.05,1367.06,1374.05,1360.42
2021-06-07,1358.78,1374.59,1375.74,1347.21
2021-06-08,1319.88,1355.36,1364.48,1318.11
2021-06-09,1332.90,1323.52,1339.14,1312.08
2021-06-10,1323.58,1332.90,1336.71,1317.49
2021-06-11,1351.74,1326.79,1352.47,1322.08
2021-06-14,1361.72,1352.73,1368.53,1352.73
2021-06-15,1367.36,1361.58,1372.72,1356.59
2021-06-16,1356.52,1363.85,1370.14,1350.73
2021-06-17,1359.92,1341.06,1364.55,1337.49
2021-06-18,1377.77,1366.19,1377.77,1363.52
2021-06-21,1372.63,1373.59,1381.74,1367.85
2021-06-22,1379.97,1380.84,1385.98,1375.00
2021-06-23,1376.87,1383.15,1388.33,1372.06
2021-06-24,1379.72,1376.87,1384.71,1372.99
2021-06-25,1390.12,1382.11,1390.12,1372.80
2021-06-28,1405.81,1397.96,1406.02,1390.56
2021-06-29,1410.04,1408.34,1416.34,1406.87
2021-06-30,1408.55,1410.83,1419.61,1408.18
2021-07-01,1417.08,1412.15,1417.27,1402.18
